model_parameters,model_rank,auc_score_mean,auc_score_std,auc_score_cv
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 10, 'subsample': 0.6}",488,0.7926780227290086,0.015315208094072497,0.01932084358961505
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 10, 'subsample': 0.8}",368,0.7937686246200486,0.014545577998008869,0.018324707662729006
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 1, 'n_estimators': 100, 'scale_pos_weight': 10, 'subsample': 1.0}",757,0.7907340570771405,0.014651584649278269,0.018529092705879147
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 50, 'scale_pos_weight': 1, 'subsample': 0.6}",294,0.7946423958220916,0.017070085419711452,0.021481468279894275
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 50, 'scale_pos_weight': 1, 'subsample': 0.8}",369,0.7937586743589168,0.015578029758757585,0.019625649787499026
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 50, 'scale_pos_weight': 1, 'subsample': 1.0}",418,0.7933595741006366,0.014599322705452646,0.018401898939711718
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 50, 'scale_pos_weight': 5, 'subsample': 0.6}",266,0.7949190902515312,0.01371673516721686,0.017255511077079
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 50, 'scale_pos_weight': 5, 'subsample': 0.8}",307,0.7945158631923094,0.015337269205524952,0.01930391816709722
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 50, 'scale_pos_weight': 5, 'subsample': 1.0}",635,0.7916526086902561,0.014501313854946365,0.018317774356782526
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 50, 'scale_pos_weight': 10, 'subsample': 0.6}",579,0.7920109847412142,0.014179810236229223,0.01790355248780092
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 50, 'scale_pos_weight': 10, 'subsample': 0.8}",377,0.7936750810043115,0.014954439347957062,0.018842016973789587
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 50, 'scale_pos_weight': 10, 'subsample': 1.0}",855,0.7899672623409537,0.01523823042337357,0.019289698636646382
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 0.6}",35,0.7984074391159085,0.015988292813367395,0.020025230264727408
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 0.8}",34,0.7984104949640952,0.015827823534748528,0.019824167686398348
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 100, 'scale_pos_weight': 1, 'subsample': 1.0}",113,0.7969496940454232,0.014355912835643036,0.018013574687218342
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 100, 'scale_pos_weight': 5, 'subsample': 0.6}",145,0.7963672147032707,0.014521355942825153,0.018234497446301658
"{'eta': 0.05, 'gamma': 0, 'max_depth': 5, 'min_child_weight': 5, 'n_estimators': 100, 'scale_pos_weight': 5, 'subsample': 0.8}",78,0.7974793168560184,0.014226975377549418,0.01783993023623212
